npz_dir,npz_filename,event_type,datetime,minX,minY,maxX,maxY
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062217_Hail+Thunderstorm_Wind_1277_252_1381_334.npz,Hail+Thunderstorm_Wind,2020-06-22T17:00:00,1277,252,1381,334
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062018_Hail_808_552_862_606.npz,Hail,2020-06-20T18:00:00,808,552,862,606
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020060315_Hail_744_557_800_612.npz,Hail,2020-06-03T15:00:00,744,557,800,612
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020061919_Thunderstorm_Wind_767_542_809_584.npz,Thunderstorm_Wind,2020-06-19T19:00:00,767,542,809,584
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062313_Hail_726_518_783_570.npz,Hail,2020-06-23T13:00:00,726,518,783,570
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062618_Hail_743_561_788_606.npz,Hail,2020-06-26T18:00:00,743,561,788,606
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020060617_Thunderstorm_Wind_729_540_784_613.npz,Thunderstorm_Wind,2020-06-06T17:00:00,729,540,784,613
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062719_Hail+Thunderstorm_Wind_747_534_827_609.npz,Hail+Thunderstorm_Wind,2020-06-27T19:00:00,747,534,827,609
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062620_Thunderstorm_Wind_757_525_858_586.npz,Thunderstorm_Wind,2020-06-26T20:00:00,757,525,858,586
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062716_Flash_Flood+Thunderstorm_Wind_739_522_788_597.npz,Flash_Flood+Thunderstorm_Wind,2020-06-27T16:00:00,739,522,788,597
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020061417_Thunderstorm_Wind_754_525_804_584.npz,Thunderstorm_Wind,2020-06-14T17:00:00,754,525,804,584
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020060416_Hail+Thunderstorm_Wind_752_503_854_608.npz,Hail+Thunderstorm_Wind,2020-06-04T16:00:00,752,503,854,608
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020060315_Hail_758_571_813_625.npz,Hail,2020-06-03T15:00:00,758,571,813,625
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020060313_Hail_721_527_793_604.npz,Hail,2020-06-03T13:00:00,721,527,793,604
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062112_Flash_Flood+Hail+Tornado_770_510_854_599.npz,Flash_Flood+Hail+Tornado,2020-06-21T12:00:00,770,510,854,599
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020060212_Thunderstorm_Wind+Tornado_715_526_791_596.npz,Thunderstorm_Wind+Tornado,2020-06-02T12:00:00,715,526,791,596
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020060217_Hail+Thunderstorm_Wind_774_578_818_621.npz,Hail+Thunderstorm_Wind,2020-06-02T17:00:00,774,578,818,621
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020060415_Tornado_753_569_798_613.npz,Tornado,2020-06-04T15:00:00,753,569,798,613
